============================================================
当前配置
============================================================
环境: BipedalWalker-v3
种群大小: 50
训练代数: 100
变异率: 0.2
交叉率: 0.7
精英比例: 0.04
神经网络结构: 输入 → 16 → 16 → 输出
每集最大步数: 500
============================================================

开始时间: 2025-11-28 19:10:03
视频保存频率: 每 999999 代

初始化环境...
/opt/anaconda3/envs/ga-humanoid/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
✓ 成功加载 BipedalWalker-v3
观察空间: 24维, 动作空间: 4维

网络参数数量: 740

使用标准遗传算法（固定高变异率：0.2）
============================================================
开始训练（无实时渲染，速度更快）
============================================================



[Gen 91/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 3.03, Mean: -82.86, Std: 39.16 | Time: 1.8s

[Gen 92/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 3.23, Mean: -77.14, Std: 38.48 | Time: 2.0s

[Gen 93/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 2.99, Mean: -83.76, Std: 40.19 | Time: 1.6s

[Gen 94/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 2.94, Mean: -85.96, Std: 39.86 | Time: 1.8s

[Gen 95/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 3.19, Mean: -84.42, Std: 41.56 | Time: 1.6s

[Gen 96/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 3.33, Mean: -82.55, Std: 36.70 | Time: 1.7s

[Gen 97/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 3.29, Mean: -83.38, Std: 35.78 | Time: 1.6s

[Gen 98/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 2.76, Mean: -81.53, Std: 38.29 | Time: 1.6s

[Gen 99/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 2.58, Mean: -76.45, Std: 41.38 | Time: 2.1s

[Gen 100/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 3.48, Mean: -80.04, Std: 38.23 | Saving checkpoint... 模型已保存到 best_model_gen100.npy
Done | Time: 2.0s
============================================================
训练完成！
============================================================
总用时: 3.1分钟
最佳适应度: 16.74

模型已保存到 best_model.npy
📹 录制最终最佳个体视频...
OK (terrain seed=42, reward: 18.6, steps: 500) 
模型已保存为: best_model.npy
视频已保存到: videos/ 目录
训练统计已保存为: training_stats.npy

使用 python visualize.py 查看训练曲线和最终效果
